date,symbol,signal,close
2020-01-27T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,5.97125144
2020-02-24T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,6.793603636
2020-03-25T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,6.10985753
2020-04-21T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,6.704127119
2020-05-06T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,7.40759903
2020-05-28T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,8.444647969
2020-07-10T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,10.43171383
2020-08-11T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,10.80078203
2020-08-18T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,12.20513256
2020-08-20T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,12.08592577
2020-09-15T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,12.93581272
2020-09-18T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,12.13746864
2020-10-15T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,13.91065381
2020-11-20T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,13.03215171
2020-12-01T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,13.33311772
2020-12-10T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,12.92099938
2020-12-14T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,13.25616994
2020-12-15T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,13.30771549
2020-12-23T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,12.9578532
2021-01-14T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,13.1480986
2021-01-26T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,13.38217017
2021-02-02T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,13.50319015
2021-02-03T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,13.47704386
2021-02-22T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,14.29903347
2021-03-05T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,12.41226725
2021-03-11T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,12.94630022
2021-03-25T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,12.48971485
2021-04-20T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,15.1161394
2021-05-07T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,14.75844349
2021-06-09T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,17.29918044
2021-06-18T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,18.57532294
2021-07-22T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,19.52732226
2021-07-27T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,19.1426358
2021-08-10T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,19.86815844
2021-08-24T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,21.71883913
2021-09-09T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,22.10548174
2021-09-21T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,21.17748411
2021-10-07T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,21.00703556
2021-10-12T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,BUY,20.60433841
2021-10-27T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,24.37214835
2021-11-05T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,29.65605324
2021-11-09T00:00:00Z,NVDA_GoogleFinance_AutoUpToDate,SELL,30.55813472
